StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CF,PID,SV1,SV2,Q304,Q423,Q405,Q435,Q420,Q412,Q298,Q99,Q155,Q423,Q293,Q434,Q291,Q384,Q224,Q417,Q274,Q220,Q38,Q122,Q314,Q109,Q270,Q55,Q277,Q43,Q436,Q406,Q297,Q261,QR314,QR198,QR233,QR415,QR183,QR430,QR399,QR403,QR279,QR429,QR414,QR434,QR390,QR401,QR262,QR319,QR90,QR411,QR109,QR119,QR409,QR178,QR258,QR25,QR27,QR32,QR73,QR40,QR436,QR420,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Before you proceed, please read the following information:



I, the undersigned, understand that my participation in this study involves solving a task. I acknowledge the following:



1. Task Description: The survey consists of two tasks. The first task involves identifying the word that does not belong to the others for some given lists of words. The second task requires assessing the level of relatedness between the words in given sets.

2. Purpose: The survey is part of a research study aiming to evaluate the effectiveness of a machine learning algorithm.

3. Data Collection: No personal information will be collected during this task.

4. Data Usage: The data obtained will be used for research purposes only.

5. Anonymity: Your responses will be anonymized, and no personally identifiable information will be recorded.



Consent Agreement:



By selecting 'Yes' below, I acknowledge that I have read and understood the information provided, and I voluntarily agree to participate in the study.","What is your Prolific ID?



Please note that this response should auto-fill with the correct ID",Which of the following languages are you fluent in?,Which of these is the highest level of education you have completed?,Q304,Q423,Q405,Q435,Q420,Q412,Q298,Q99,Q155,Q423,Q293,Q434,Q291,Q384,Q224,Q417,Q274,Q220,Q38,Q122,Q314,Q109,Q270,Q55,Q277,Q43,Q436,Q406,Q297,Q261,"egg, milk, animal, meat, cow, pig, concentration, air_pollution, food, cattle","business, risk, company, loan, insurance, credit, enterprise, financial, firm, bank","vowel, synthesis, prosodic, syllable, articulatory, pitch, tone, prosody, duration, stress","classification, brain, feature, electroencephalogram, signal, patient, study, diagnosis, temporal, speech_recognition","genetic_algorithm, production, transportation, supply_chain, customer, inventory, product, ship, logistic, cost","image, plant, classification, disease, crop, fruit, agriculture, prediction, analysis, study","phishe, transaction, website, crime, fraud, url, detect, credit_card, fraudulent, phishing","user, recommendation, classification, sentiment, prediction, analysis, feature, twitter, attack, text","circuit, variational, qubit, gate, classical, snr, svm, qml, fidelity, quantum","cgf, telescope, satellite, capp, raven, cgfs, military, launch, orbit, air_combat","sentence, document, nlp, word, language, translation, corpus, text, extraction, semantic","vgi, anchorage, sdcs, hatch, hesitant_fuzzy, auction, beverage, rio, glycan, cardamom","fraud, ddos_attack, watermarking, traffic, detect, intrusion_detection_system, credit_card, attack, watermark, intrusion","robot, computer_vision, motion, traffic, human, sensor, temporal, vehicle, environment, speech_recognition","dnns, deep_learning, deployment, energy, dnn, automl, gpu, inference, pruning, mobile","product, fish, burn, forest_fire, oil_palm, fuel, fire, wildfire, food, tea","pi_controller, motor, slide_mode, nonlinear, tuning, genetic_algorithm, pi, disturbance, proportional_integral, pid_controller","structure, phase, design, signal, genetic_algorithm, temporal, high, simulation, image, optical","health, social, child, virtual_reality, healthcare, robot, human, game, agent, interaction","gender, education, school, questionnaire, data_mining, style, prediction, child, student, woman","decision_making, support, student, study, expert, criterion, selection, violence, child, world_health","slam, radar, localization, lidar, location, positioning, indoor, indoor_localization, gps, navigation","mood, sarcasm, restaurant, tourist, travel, hotel, visitor, tourism, emotion, affective","kbs, healthcare, reasoning, diagnosis, fault, inference, maintenance, acquisition, expert, es","trust, prediction, user, interpretability, explanation, developer, safety, automate, validation, testing","ontology, web, semantic, management, business, interoperability, enterprise, integration, schema, data_warehouse","diversity, meta, adaboost, classification, ensemble, boost, single, fusion, individual, bagging","loss, bias, uncertainty, meta, generalization, active, instance, semi_supervised, prediction, fairness","gene, analysis, healthcare, cell, study, tumor, patient, prediction, cancer, diagnosis","computer_vision, color, camera, facial_expression, image, classification, pattern, feature, speech_recognition, extraction",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID714""}","{""ImportId"":""QID716_TEXT""}","{""ImportId"":""QID718""}","{""ImportId"":""QID719""}","{""ImportId"":""QID684""}","{""ImportId"":""QID685""}","{""ImportId"":""QID686""}","{""ImportId"":""QID687""}","{""ImportId"":""QID688""}","{""ImportId"":""QID689""}","{""ImportId"":""QID690""}","{""ImportId"":""QID691""}","{""ImportId"":""QID692""}","{""ImportId"":""QID693""}","{""ImportId"":""QID694""}","{""ImportId"":""QID695""}","{""ImportId"":""QID696""}","{""ImportId"":""QID697""}","{""ImportId"":""QID698""}","{""ImportId"":""QID699""}","{""ImportId"":""QID700""}","{""ImportId"":""QID701""}","{""ImportId"":""QID702""}","{""ImportId"":""QID703""}","{""ImportId"":""QID704""}","{""ImportId"":""QID705""}","{""ImportId"":""QID706""}","{""ImportId"":""QID707""}","{""ImportId"":""QID708""}","{""ImportId"":""QID709""}","{""ImportId"":""QID710""}","{""ImportId"":""QID711""}","{""ImportId"":""QID712""}","{""ImportId"":""QID713""}","{""ImportId"":""QID624""}","{""ImportId"":""QID625""}","{""ImportId"":""QID626""}","{""ImportId"":""QID627""}","{""ImportId"":""QID628""}","{""ImportId"":""QID629""}","{""ImportId"":""QID630""}","{""ImportId"":""QID631""}","{""ImportId"":""QID632""}","{""ImportId"":""QID633""}","{""ImportId"":""QID634""}","{""ImportId"":""QID635""}","{""ImportId"":""QID636""}","{""ImportId"":""QID637""}","{""ImportId"":""QID638""}","{""ImportId"":""QID639""}","{""ImportId"":""QID640""}","{""ImportId"":""QID641""}","{""ImportId"":""QID642""}","{""ImportId"":""QID643""}","{""ImportId"":""QID644""}","{""ImportId"":""QID645""}","{""ImportId"":""QID646""}","{""ImportId"":""QID647""}","{""ImportId"":""QID648""}","{""ImportId"":""QID649""}","{""ImportId"":""QID650""}","{""ImportId"":""QID651""}","{""ImportId"":""QID652""}","{""ImportId"":""QID653""}","{""ImportId"":""PROLIFIC_PID""}"
2023-12-08 14:04:54,2023-12-08 14:12:45,IP Address,217.159.140.94,100,471,True,2023-12-08 14:12:46,R_vOel1dKvw1MCfJL,,,,,59.4381,24.7369,anonymous,EN,"Yes, I agree to participate.",5e551bdb4f51d6000b8eb12a,English,Undergraduate degree (BA/BSc/other),facial_expression,feature,prediction,nursing,prediction,mapreduce,reconstruction,neuro_fuzzy,chatbot,speech_recognition,prediction,cardamom,ehr,anomaly_detection,fer,laboratory,cache,speech_recognition,cbr,word,air_pollution,virtual_reality,job,gan,biomarker,stochastic_gradient,language,deep_learning,vaccination,quantization,Very Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Very Related,Not Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Not Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Very Related,Very Related,5e551bdb4f51d6000b8eb12a
2023-12-08 14:06:48,2023-12-08 14:17:11,IP Address,89.85.90.67,100,623,True,2023-12-08 14:17:12,R_3e1OyuyqgYhNbGd,,,,,48.5855,7.7418,anonymous,EN,"Yes, I agree to participate.",5f8f52ffd211991aba7ecd1f,English,Undergraduate degree (BA/BSc/other),facial_expression,cdss,prediction,zigbee,prediction,mapreduce,reconstruction,membership_function,chatbot,cdss,speech_recognition,reward,patient,traffic,fer,school,stream,patient,case,health,air_pollution,virtual_reality,edge,coronary_artery,biomarker,convex,cancer,diagnosis,spatial,inference,Very Related,Very Related,Very Related,Very Related,Not Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Not Related,Very Related,Not Related,Not Related,Very Related,Not Related,Not Related,Somewhat Related,Very Related,Somewhat Related,Very Related,Not Related,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Very Related,5f8f52ffd211991aba7ecd1f
2023-12-08 14:03:16,2023-12-08 14:18:56,IP Address,79.191.79.58,100,940,True,2023-12-08 14:18:57,R_XFfbCAIpspDeurv,,,,,52.2296,21.0067,anonymous,EN,"Yes, I agree to participate.",5ebee8581f3004103ad74b5a,English,Undergraduate degree (BA/BSc/other),facial_expression,cdss,prediction,zigbee,image,mapreduce,patient,inference,chatbot,speech_recognition,speech_recognition,sdcs,color,drug,fer,feature,incremental,recognition,lung,health,character,pca,job,loss,storage,rate,language,recognition,spatial,cnn,Somewhat Related,Very Related,Very Related,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Somewhat Related,Not Related,Very Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Very Related,Somewhat Related,Not Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Very Related,5ebee8581f3004103ad74b5a
2023-12-08 14:04:43,2023-12-08 14:19:15,IP Address,62.248.143.145,100,872,True,2023-12-08 14:19:16,R_3OoXz0fjCXTmshI,,,,,63.0945,21.631,anonymous,EN,"Yes, I agree to participate.",5fbfc811235b1d1533a892eb,English,Undergraduate degree (BA/BSc/other),facial_expression,cdss,svm,scada,prediction,mapreduce,patient,t_s_method,chatbot,cdss,speech_recognition,sdcs,nlp,drug,fer,feature,concept_drift,patient,lung,health,character,human,edge,coronary_artery,biomarker,patient,language,deep_learning,spatial,accelerator,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Somewhat Related,Not Related,Not Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Not Related,Somewhat Related,Not Related,Not Related,Not Related,Very Related,Somewhat Related,5fbfc811235b1d1533a892eb
2023-12-08 14:05:57,2023-12-08 14:22:08,IP Address,41.113.211.197,100,971,True,2023-12-08 14:22:09,R_26hZv8ibf4a1WIh,,,,,-26.2309,28.0583,anonymous,EN,"Yes, I agree to participate.",605b2ced9d63e5c4590f2280,English,Undergraduate degree (BA/BSc/other),facial_expression,cdss,svm,zigbee,prediction,mapreduce,reconstruction,membership_function,ae,word,prediction,rio,ehr,traffic,fer,feature,stream,word,cbr,health,concentration,pca,sequence,loss,biomarker,convex,prediction,deep_learning,cost,accelerator,Not Related,Very Related,Not Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Not Related,Somewhat Related,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Not Related,Very Related,Somewhat Related,605b2ced9d63e5c4590f2280
2023-12-08 14:04:14,2023-12-08 14:24:14,IP Address,51.241.253.14,100,1200,True,2023-12-08 14:24:15,R_YY2ddbOq9q7JFjX,,,,,51.3249,-0.5681,anonymous,EN,"Yes, I agree to participate.",5cd959b304748d001819f233,English,Undergraduate degree (BA/BSc/other),facial_expression,feature,prediction,scada,classification,mapreduce,reconstruction,t_s_method,star,signal,prediction,cardamom,ehr,anomaly_detection,fer,feature,incremental,patient,lung,health,character,pca,sequence,deep_learning,biomarker,rate,language,classification,spatial,cnn,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Not Related,Not Related,Very Related,Not Related,Somewhat Related,Not Related,Not Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Very Related,Somewhat Related,Very Related,Somewhat Related,Not Related,Very Related,Very Related,Not Related,Somewhat Related,Very Related,Very Related,5cd959b304748d001819f233
2023-12-08 14:05:40,2023-12-08 14:31:28,IP Address,197.184.183.82,100,1547,True,2023-12-08 14:31:29,R_3fMOSklNar9qewl,,,,,-26.2309,28.0583,anonymous,EN,"Yes, I agree to participate.",6497e970e2621e753513a695,English,Undergraduate degree (BA/BSc/other),facial_expression,cdss,prediction,nursing,computer_vision,mapreduce,reconstruction,inference,ae,cdss,prediction,reward,color,traffic,fer,feature,expression,speech_recognition,lung,health,air_pollution,virtual_reality,job,loss,biomarker,patient,language,deep_learning,effectiveness,inference,Somewhat Related,Very Related,Not Related,Very Related,Not Related,Very Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Very Related,Very Related,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Very Related,6497e970e2621e753513a695
2023-12-08 14:04:37,2023-12-08 14:33:02,IP Address,197.221.184.137,100,1705,True,2023-12-08 14:33:03,R_2ydb4sFNI2c8Riy,,,,,-33.91,18.4304,anonymous,EN,"Yes, I agree to participate.",614ee8ddba7641d7696ab82a,English,Undergraduate degree (BA/BSc/other),facial_expression,feature,activity,nursing,image,cognitive,reconstruction,inference,damage,signal,prediction,reward,color,traffic,fer,feature,incremental,signal,lung,health,character,healthcare,edge,deep_learning,biomarker,optimization,language,image,cost,quantization,Very Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Not Related,Somewhat Related,Somewhat Related,Not Related,Not Related,Not Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Not Related,Not Related,Not Related,Not Related,Somewhat Related,Very Related,Somewhat Related,614ee8ddba7641d7696ab82a
2023-12-08 14:02:57,2023-12-08 14:41:24,IP Address,105.245.103.235,100,2307,True,2023-12-08 14:41:25,R_ALnbn7RlRKKWXv3,,,,,-25.7599,28.2604,anonymous,EN,"Yes, I agree to participate.",60fe54550c56a36a9a0558cd,English,Undergraduate degree (BA/BSc/other),facial_expression,cdss,activity,nursing,prediction,mapreduce,patient,tomography,ae,feature,prediction,reward,color,traffic,fer,feature,expression,recognition,cbr,health,character,pca,sequence,coronary_artery,biomarker,patient,language,recognition,incremental,cnn,Somewhat Related,Very Related,Very Related,Somewhat Related,Very Related,Not Related,Very Related,Very Related,Very Related,Very Related,Very Related,Not Related,Very Related,Somewhat Related,Very Related,Not Related,Somewhat Related,Very Related,Somewhat Related,Not Related,Very Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Not Related,Not Related,Very Related,Very Related,60fe54550c56a36a9a0558cd
2023-12-08 14:11:29,2023-12-08 14:43:23,IP Address,41.0.61.13,100,1914,True,2023-12-08 14:43:23,R_3lFGbjbaDHI2fH1,,,,,-26.2309,28.0583,anonymous,EN,"Yes, I agree to participate.",61574d498a935593d413947f,English,Undergraduate degree (BA/BSc/other),facial_expression,feature,prediction,nursing,speech_recognition,human,patient,tomography,star,feature,prediction,reward,color,traffic,disease,feature,expression,human,lung,health,cow,game,job,coronary_artery,biomarker,patient,language,classification,cost,gene,Very Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Not Related,Very Related,Somewhat Related,Not Related,Very Related,Very Related,Not Related,Somewhat Related,Somewhat Related,Not Related,Not Related,Not Related,Very Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Not Related,Not Related,Very Related,Very Related,61574d498a935593d413947f
2023-12-08 14:35:42,2023-12-08 14:44:45,IP Address,41.113.211.197,100,543,True,2023-12-08 14:44:46,R_Z8qfZrf63oPd3Vv,,,,,-26.2309,28.0583,anonymous,EN,"Yes, I agree to participate.",605b2ced9d63e5c4590f2280,English,Undergraduate degree (BA/BSc/other),facial_expression,feature,svm,zigbee,prediction,mapreduce,reconstruction,membership_function,ae,cdss,prediction,reward,color,traffic,fer,feature,stream,word,lung,health,character,pca,sequence,gan,biomarker,convex,language,classification,cost,accelerator,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Not Related,Very Related,Not Related,Not Related,Very Related,Not Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,605b2ced9d63e5c4590f2280
2023-12-08 14:14:48,2023-12-08 14:47:15,IP Address,154.127.114.14,100,1947,True,2023-12-08 14:47:16,R_29aWU3jfnAdUcXH,,,,,-26.2309,28.0583,anonymous,EN,"Yes, I agree to participate.",6171b75b3c2b59f8487b4814,English,Undergraduate degree (BA/BSc/other),facial_expression,speaker,activity,nursing,classification,mapreduce,reconstruction,inference,ae,speaker,speech_recognition,anchorage,color,traffic,fer,feature,expression,speech_recognition,lung,health,concentration,human,job,coronary_artery,biomarker,patient,language,cell,tuberculosis,cnn,Very Related,Very Related,Very Related,Very Related,Somewhat Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Somewhat Related,Not Related,Not Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Very Related,6171b75b3c2b59f8487b4814
2023-12-08 14:05:36,2023-12-08 15:09:51,IP Address,41.150.221.135,100,3854,True,2023-12-08 15:09:52,R_3EW6MBxuN4Poq26,,,,,-25.7599,28.2604,anonymous,EN,"Yes, I agree to participate.",5f1c5d097881234e5034cb12,English,Undergraduate degree (BA/BSc/other),facial_expression,cdss,activity,nursing,facial_expression,mapreduce,reconstruction,inference,ae,speech_recognition,speech_recognition,reward,ehr,traffic,fer,school,stream,patient,lung,health,character,pca,workload,coronary_artery,biomarker,patient,language,deep_learning,tuberculosis,cnn,Very Related,Very Related,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Not Related,Somewhat Related,Very Related,Not Related,Very Related,Not Related,Very Related,Very Related,Very Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Very Related,Somewhat Related,Not Related,Very Related,Somewhat Related,Very Related,Very Related,Very Related,Very Related,5f1c5d097881234e5034cb12
2023-12-08 14:04:09,2023-12-08 15:10:32,IP Address,197.184.179.80,100,3983,True,2023-12-08 15:10:33,R_Dwzowok5WOvLyrT,,,,,-26.2309,28.0583,anonymous,EN,"Yes, I agree to participate.",60b880518b31da36270782eb,English,Undergraduate degree (BA/BSc/other),facial_expression,cdss,svm,nursing,classification,mapreduce,patient,inference,chatbot,feature,prediction,reward,patient,traffic,fer,feature,expression,patient,lung,health,concentration,pca,job,loss,biomarker,patient,language,image,tuberculosis,gene,Very Related,Very Related,Somewhat Related,Very Related,Very Related,Not Related,Very Related,Not Related,Somewhat Related,Very Related,Very Related,Not Related,Somewhat Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Somewhat Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Very Related,Very Related,Very Related,60b880518b31da36270782eb
2023-12-08 14:21:14,2023-12-08 15:11:53,IP Address,109.48.56.24,100,3039,True,2023-12-08 15:11:54,R_3Pw5Zm54VJc7KRy,,,,,38.6533,-9.0444,anonymous,EN,"Yes, I agree to participate.",5df6304773d724428a9cff45,English,Undergraduate degree (BA/BSc/other),facial_expression,feature,activity,nursing,speech_recognition,cognitive,reconstruction,membership_function,chatbot,cdss,speech_recognition,sdcs,color,traffic,disease,feature,expression,patient,lung,health,character,game,sequence,coronary_artery,biomarker,patient,language,diagnosis,spatial,accelerator,Somewhat Related,Very Related,Very Related,Very Related,Very Related,Very Related,Very Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Not Related,Somewhat Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Very Related,Very Related,Not Related,Very Related,Very Related,5df6304773d724428a9cff45
2023-12-08 14:04:51,2023-12-08 15:13:55,IP Address,197.90.199.118,100,4143,True,2023-12-08 15:13:56,R_3qe7kjLQD0KW1xn,,,,,-26.2198,28.251,anonymous,EN,"Yes, I agree to participate.",5fb2727f2942a58418fd0d2b,English,Undergraduate degree (BA/BSc/other),facial_expression,cdss,activity,nursing,prediction,mapreduce,stroke,tomography,chatbot,cdss,speech_recognition,cardamom,color,traffic,fer,feature,stream,patient,lung,health,concentration,healthcare,workload,coronary_artery,biomarker,convex,language,diagnosis,incremental,gene,Very Related,Very Related,Very Related,Very Related,Somewhat Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Somewhat Related,Somewhat Related,Not Related,Very Related,Not Related,Not Related,Somewhat Related,Very Related,Somewhat Related,Somewhat Related,Very Related,Not Related,Very Related,Somewhat Related,Not Related,Somewhat Related,Not Related,Not Related,Somewhat Related,Very Related,Very Related,5fb2727f2942a58418fd0d2b
